;Class;Source;Target;Total;Lines;Statements;X..Statements;Calls;X..Comments;Classes;Methods.Class;Avg.Stmts.Method;Max.Complexity;Max.Depth;Avg.Depth;Avg.Complexity;pmdAll;pmdCoupling;pmdDesign;pmdCodeSize;pmdPriority;findbugsAll;findbugsStyle;findbugsBad;findbugsScary;ncloc;complexity;class_complexity;comment_lines;comment_lines_density;public_undocumented_api;duplicated_lines;violations;code_smells;sqale_index;sqale_debt_ratio;bugs;vulnerabilities;statements;public_api;functions;WMC;DIT;NOC;CBO;RFC;LCOM;Ca;NPM;Commits;Creation
311;Payload;0;28;28;199;67;19.4;13;45.2;1;14;3.29;8;5;2.03;2.14;44;6;0;0;0;3;0;0;3;91;38;38;58;38.9;0;0;4;3;45;1.6;0;1;42;11;14;14;1;0;2;23;0;4;14;17;1297191928
312;PayloadAttribute;3;0;3;36;6;0;0;69.4;1;2;0;0;1;0.33;0;3;0;0;0;0;0;0;0;0;7;0;0;15;68.2;0;0;1;1;5;2.4;0;0;0;3;2;2;1;0;2;2;1;3;2;9;1269287493
313;PayloadAttributeImpl;11;0;11;99;33;12.1;6;31.3;1;9;2.11;6;4;1.67;1.78;28;2;1;0;0;0;0;0;0;51;19;19;17;25;0;0;3;3;40;2.6;0;0;19;3;8;9;0;0;3;15;0;0;9;10;1297191928
314;PayloadFunction;0;0;0;71;13;0;7;66.2;1;1;4;1;2;1.08;1;15;0;0;0;0;0;0;0;0;16;1;1;33;67.3;1;0;2;2;10;2.1;0;0;5;4;5;6;1;3;1;10;15;7;6;14;1297191928
315;PayloadNearQuery;0;0;0;244;131;15.3;81;18.4;3;5;6;10;6;2.2;2.4;148;41;1;4;7;2;0;1;2;177;46;15.3;33;15.7;6;22;5;4;85;1.6;1;0;90;7;15;7;0;0;8;33;7;2;7;24;1297466174
316;PayloadProcessorProvider;0;0;0;81;10;0;3;69.1;3;0;0;0;2;0.7;0;8;0;0;0;0;0;0;0;0;13;0;0;42;76.4;0;0;6;6;39;10;0;0;0;6;3;2;1;0;2;3;1;2;2;2;1296426876
317;PayloadSpanUtil;0;0;0;190;104;24;49;19.5;1;4;18.5;22;6;2.66;7.25;69;16;3;4;14;0;0;0;0;132;28;28;23;14.8;0;0;13;12;82;2.1;1;0;75;3;4;4;1;0;17;37;4;0;2;13;1295877066
318;PayloadTermQuery;0;0;0;230;104;12.5;58;24.8;3;4.67;4.64;8;6;2.6;2.14;75;5;2;0;2;0;0;0;0;148;38;12.7;41;21.7;2;0;3;2;10;0.2;1;0;63;3;14;7;0;0;6;14;9;2;5;18;1297466174
319;PerFieldCodecWrapper;0;0;0;225;81;9.9;63;16;3;2;9.17;5;7;3.9;2;89;10;1;0;1;0;0;0;0;164;40;10;29;15;0;0;11;10;39;0.8;0;1;64;0;16;6;0;0;11;11;3;3;4;8;1298314239
320;PerReaderTermState;41;0;41;148;56;10.7;18;39.9;1;7;4.71;5;6;1.75;1.86;39;10;0;0;2;0;0;0;0;74;16;16;43;36.8;1;0;2;2;15;0.7;0;0;35;9;7;8;1;0;11;27;0;17;7;2;1295299546
321;PersistentSnapshotDeletionPolicy;0;0;0;195;66;10.6;48;45.1;1;8;5.13;5;5;1.79;1.88;47;7;3;0;3;0;0;0;0;91;19;19;69;43.1;0;0;4;4;16;0.6;0;0;44;4;7;7;0;0;17;52;15;0;6;4;1296426876
322;PhrasePositions;0;0;0;74;33;12.1;5;47.3;1;5;3.4;3;3;1.52;1.8;52;0;2;0;0;0;0;0;0;41;12;12;27;39.7;0;0;2;2;15;1.2;0;0;16;0;5;5;1;0;1;10;0;3;0;13;1270581567
323;PhraseQuery;0;2;2;395;206;16.5;153;19;3;7.67;6.7;11;6;2.5;2.65;218;57;12;0;11;2;0;2;2;271;64;21.3;57;17.4;1;85;14;12;96;1.2;2;0;147;6;20;17;0;0;8;49;0;4;13;61;1298592942
324;PhraseQueue;0;0;0;39;10;30;1;46.2;1;2;2.5;1;3;1.3;1;12;0;0;0;0;0;0;0;0;17;7;7;14;45.2;0;0;1;1;5;1;0;0;6;0;2;3;0;0;2;5;3;2;0;12;1269287493
325;PhraseScorer;0;0;0;187;90;22.2;24;32.6;1;12;5.5;7;4;2.17;2.92;59;3;2;1;0;0;0;0;0;120;34;34;52;30.2;0;0;4;3;12;0.3;1;0;63;0;13;13;0;1;7;29;0;1;6;38;1295555804
326;PositionBasedTermVectorMapper;0;0;0;172;55;10.9;15;38.4;2;5.5;2.64;4;4;1.93;1.64;47;2;6;0;0;0;0;0;0;81;15;7.5;35;30.2;2;0;8;7;13;0.5;0;1;29;5;7;6;0;0;4;15;11;0;6;14;1278318805
327;PositionIncrementAttribute;0;7;7;59;5;0;0;83.1;1;2;0;0;1;0.4;0;4;0;0;0;0;0;0;0;0;6;0;0;35;85.4;0;0;1;1;5;2.8;0;0;0;3;2;2;1;0;1;2;1;5;2;10;1283181885
328;PositionIncrementAttributeImpl;0;0;0;97;24;12.5;2;48.5;1;6;2.17;3;3;1.46;1.5;17;1;0;0;0;0;0;0;0;38;11;11;34;47.2;0;0;2;1;5;0.4;1;0;13;2;5;7;0;0;2;13;0;0;7;10;1297191928
329;PositiveIntOutputs;6;0;6;138;68;20.6;17;18.1;1;11;4.36;6;3;1.87;2.36;55;0;6;0;2;4;1;2;4;92;36;36;19;17.1;2;0;13;12;46;1.7;1;0;43;3;10;19;0;0;3;28;101;4;16;1;1292168168
330;PositiveScoresOnlyCollector;0;0;0;63;18;5.6;6;36.5;1;5;1.4;2;3;1.22;1.2;18;1;0;0;0;0;0;0;0;29;6;6;17;37;1;0;2;2;7;0.8;0;0;7;2;5;5;0;0;4;12;0;0;5;10;1294820532
331;PostingsConsumer;5;0;5;100;44;20.5;16;32;2;0.5;29;10;6;2.8;10;28;5;0;0;8;3;0;0;3;56;8;4;26;31.7;1;0;3;3;25;1.5;0;0;29;6;4;5;1;2;6;14;10;6;5;4;1295102557
332;PostingsReaderBase;0;0;0;64;17;0;7;53.1;1;0;0;0;1;0.41;0;7;0;0;0;1;0;0;0;0;18;0;0;30;62.5;2;0;4;4;14;2.6;0;0;0;8;7;8;1;3;6;9;28;7;8;4;1295549635
333;PostingsWriterBase;0;0;0;44;12;0;6;45.5;1;0;0;0;1;0.5;0;8;0;0;0;0;0;0;0;0;13;0;0;14;51.9;5;0;3;3;12;3.1;0;0;0;7;6;7;0;3;4;8;21;7;7;3;1295549635
