;Class;Source;Target;Total;Lines;Statements;X..Branches;Calls;X..Comments;Classes;Methods.Class;Avg.Stmts.Method;Max.Complexity;Max.Depth;Avg.Depth;Avg.Complexity;pmdAll;pmdCoupling;pmdDesign;pmdCodeSize;pmdPriority;findbugsAll;findbugsStyle;findbugsBad;findbugsScary;WMC;DIT;NOC;CBO;RFC;LCOM;Ca;NPM;ncloc;complexity;class_complexity;comment_lines;comment_lines_density;public_undocumented_api;duplicated_lines;violations;code_smells;sqale_index;sqale_debt_ratio;bugs;vulnerabilities;statements;public_api;functions;Commits;Creation
554;PumpStreamHandler;0;0;0;232;73;13.7;24;45.7;1;16;2.88;6;4;1.75;1.63;65;0;1;0;0;0;0;0;0;16;1;3;2;26;82;12;9;103;25;25;54;34.4;0;0;8;6;55;1.8;2;0;40;10;16;34;1157136567
555;Pvcs;0;0;0;679;268;15.7;185;36.5;1;38;4.97;31;8;2.38;2.49;201;54;9;7;21;4;0;1;4;36;0;0;12;111;528;0;32;369;67;67;146;28.3;0;0;29;29;323;2.9;0;0;174;5;8;65;1163720395
556;PvcsProject;0;0;0;49;9;0;1;59.2;1;3;1;1;2;1.11;1;5;0;0;0;0;0;0;0;0;3;1;0;0;4;1;1;3;13;1;1;6;31.6;0;0;1;1;5;1.3;0;0;3;2;1;19;1163720395
557;Quantifier;0;0;0;146;52;5.8;12;42.5;7;1.43;1.6;3;4;1.65;1.3;58;2;2;0;2;1;0;0;1;6;0;0;8;16;11;1;5;66;13;6.5;33;33.3;0;0;8;8;45;2.3;0;0;25;4;5;5;1190392423
558;RCSFile;0;0;0;69;18;5.6;2;47.8;1;5;1.6;2;3;1.39;1.2;13;0;0;0;0;0;0;0;0;5;1;0;0;7;4;2;0;27;6;6;7;20.6;0;0;1;1;5;0.6;0;0;8;0;5;12;1157136567
559;ReaderInputStream;0;0;0;205;78;26.9;20;38.5;1;9;6.56;8;4;2.17;3.44;45;0;7;0;0;0;0;0;0;9;2;1;0;23;0;3;9;107;39;39;33;23.6;0;0;13;12;76;2.4;0;1;55;10;9;10;1190891121
560;Recorder;0;0;0;313;79;13.9;32;52.1;3;6.33;2.16;5;4;1.73;1.58;57;14;7;1;0;1;0;0;1;20;0;0;9;46;160;0;17;110;23;7.7;89;44.7;0;34;12;12;91;2.8;0;0;37;15;14;41;1162767827
561;RecorderEntry;0;0;0;357;117;15.4;58;40.3;1;25;2.92;5;5;1.86;1.92;63;5;3;1;2;1;0;0;1;25;1;0;9;53;224;1;17;166;50;50;69;29.4;0;0;4;3;30;0.6;0;1;70;16;23;39;1190210855
562;Rectangle;0;0;0;117;46;19.6;25;34.2;1;5;6.2;12;4;2.17;3.2;55;14;4;2;8;4;4;0;4;6;0;0;3;7;15;3;6;64;14;14;12;15.8;0;14;5;5;46;2.4;0;0;29;6;5;10;1163549427
563;RedirectingOutputStream;0;0;0;46;8;0;1;65.2;1;2;1;1;2;0.88;1;4;0;0;0;0;0;0;0;0;2;0;0;2;4;0;1;1;11;2;2;5;31.3;0;0;1;1;5;1.5;0;0;2;0;2;12;1157136567
564;RedirectingStreamHandler;0;0;0;60;21;9.5;10;36.7;1;3;4;2;3;1.57;1.67;9;3;0;0;0;0;0;0;0;3;0;0;4;12;3;1;1;30;8;8;2;6.3;1;0;2;2;15;1.7;0;0;10;1;3;19;1157136567
565;Redirector;0;0;0;839;319;16.3;155;35.5;2;21;5.14;27;6;2.25;2.79;275;28;66;8;10;10;0;0;10;44;1;0;19;112;684;6;30;448;113;56.5;155;25.7;1;0;31;31;334;2.5;0;0;202;16;26;37;1190298376
566;RedirectorElement;0;0;0;607;246;29.3;135;31.3;1;27;7;31;6;2.3;4.22;127;19;7;7;11;0;0;0;0;28;0;0;8;85;248;5;24;366;152;152;106;22.5;0;0;21;21;203;1.8;0;0;182;24;27;9;1157136567
567;Reference;0;0;0;134;31;9.7;9;56;1;9;1.78;3;3;1.48;1.33;22;0;4;0;0;0;0;0;0;9;1;1;2;15;14;62;9;44;12;12;37;45.7;0;0;6;6;40;3;0;0;16;5;5;29;1162767097
568;ReflectUtil;0;0;0;193;66;16.7;31;46.6;1;9;5.78;2;4;1.64;1.5;56;12;1;0;0;0;0;0;0;9;1;0;1;21;36;4;8;97;36;36;55;36.2;0;0;1;1;5;0.2;0;0;44;9;9;10;1186836558
569;ReflectWrapper;0;0;0;99;23;4.3;7;56.6;1;6;2.17;2;3;1.7;1.17;17;0;0;0;0;0;0;0;0;6;1;0;1;14;0;2;6;35;6;6;25;41.7;0;0;1;1;5;0.5;0;0;12;6;5;3;1165445300
570;Regexp;0;0;0;50;6;0;0;74;1;1;0;0;1;0.5;0;2;0;0;0;0;0;0;0;0;1;1;0;2;1;0;11;1;8;0;0;11;57.9;0;0;2;2;15;6.3;0;0;0;2;1;21;1157136567
571;RegexpFactory;0;0;0;111;37;16.2;17;43.2;1;4;6.5;7;3;1.84;2.5;18;2;2;0;3;0;0;0;0;4;0;0;6;20;6;1;3;51;15;15;20;28.2;0;0;4;4;37;2.4;0;0;22;3;4;30;1187802595
572;RegexpMatcher;0;0;0;109;14;0;0;72.5;1;6;0;0;1;0.71;0;9;2;0;0;0;0;0;0;0;6;1;0;1;6;15;7;6;15;0;0;37;71.2;0;0;4;4;55;12.2;0;0;0;7;6;24;1157136567
573;RegexpMatcherFactory;0;0;0;148;53;17;22;41.2;1;7;5.57;7;3;1.94;2.43;33;2;2;0;3;0;0;0;0;7;1;1;5;23;21;3;4;73;27;27;27;27;0;0;7;5;47;2.1;0;2;33;4;7;38;1187802595
574;RegexpPatternMapper;0;0;0;153;51;25.5;20;44.4;1;7;4.57;8;6;2.22;3.14;42;2;3;0;2;0;0;0;0;7;1;0;4;24;0;0;6;70;19;19;33;32;0;0;11;11;120;5.7;0;0;27;6;6;32;1190731488
575;RegexpUtil;0;0;0;49;6;0;0;73.5;1;2;1;1;2;1;1;8;0;1;0;2;0;0;0;0;3;1;0;0;4;3;4;3;9;2;2;10;52.6;0;0;4;4;37;13.7;0;0;2;3;2;21;1163720250
576;RegularExpression;0;0;0;141;40;15;16;56;1;7;3.14;3;3;1.65;1.86;30;2;1;0;0;0;0;0;0;8;0;0;4;15;0;6;5;53;14;14;43;44.8;0;0;2;2;10;0.6;0;0;21;5;7;36;1182376541
577;Rename;0;0;0;95;30;13.3;12;42.1;1;4;3.5;6;3;1.37;2.25;12;0;0;0;0;0;0;0;0;6;0;0;5;21;3;0;5;40;10;10;12;23.1;0;0;3;3;20;1.7;0;0;13;2;1;23;1157136567
578;RenameExtensions;0;0;0;145;51;2;30;43.4;1;6;5.33;4;3;1.49;1.5;25;3;1;0;0;0;0;0;0;6;0;0;9;33;0;0;6;63;6;6;25;28.4;0;0;3;3;20;1.1;0;0;32;3;2;33;1162767017
579;Replace;0;0;0;832;325;14.8;176;35.5;5;9.6;4.67;10;5;2.48;2.13;242;39;12;8;14;3;0;0;3;30;0;0;10;100;271;4;16;446;108;21.6;163;26.8;0;0;32;30;444;3.3;2;0;215;16;36;90;1171059467
580;ReplaceRegExp;0;0;0;544;206;20.9;107;35.3;1;14;11.36;24;8;3.04;4.29;156;30;4;9;27;4;0;2;4;15;0;0;10;77;41;0;12;277;60;60;125;31.1;0;0;14;14;169;2;0;0;149;9;10;66;1188833385
581;ReplaceTokens;0;0;0;374;143;21;69;39;2;9;5.67;19;8;3.01;2.78;93;37;2;6;6;0;0;0;0;14;0;0;6;49;7;1;7;190;46;23;68;26.4;0;0;13;12;172;3;0;1;95;7;12;30;1162340023
582;ResolvePropertyMap;0;0;0;87;34;8.8;16;43.7;1;3;6;3;3;1.53;2;22;2;0;0;0;0;0;0;0;3;1;0;4;22;0;1;3;44;10;10;13;22.8;0;0;1;1;5;0.4;0;0;17;4;3;1;1190634994
