;Class;findbugsScary;findbugsBadPractice;findbugsStyle;findbugsAll;pmdPriority;pmdCodeSize;pmdDesign;pmdCoupling;pmdAll;WMC;DIT;NOC;CBO;RFC;LCOM;Ca;NPM;Lines;Statements;X..Branches;Calls;X..Comments;Classes;Methods.Class;Avg.Stmts.Method;Max.Complexity;Max.Depth;Avg.Depth;Avg.Complexity;ID;ncloc;complexity;class_complexity;comment_lines;comment_lines_density;public_undocumented_api;duplicated_lines;violations;code_smells;sqale_index;sqale_debt_ratio;bugs;vulnerabilities;statements;public_api;functions;Commits;CreationTime;Source;Target;Total
92;BibtexNameFormatter;0;0;0;1;56;19;2;53;205;6;1;0;5;41;15;3;6;329;175;38.3;85;18.2;1;5;32.8;57;9+;4.45;16.8;2;235;82;82;31;11.7;2;0;18;17;239;3.4;1;0;157;6;5;19;1364106558;0;0;0
93;BibtexParser;0;0;0;2;59;16;2;87;315;41;1;0;16;141;578;35;5;939;467;25.7;321;19.7;1;40;9.65;16;8;2.56;4.6;384;613;202;202;125;16.9;1;0;21;20;235;1.3;1;0;372;6;40;211;1080590592;3;0;3
94;BibtexPurify;0;0;0;0;16;10;1;7;51;2;1;0;3;16;1;2;2;95;41;39;14;36.8;1;1;38;26;8;4.17;26;3;54;25;25;13;19.4;0;0;5;5;80;4.9;0;0;38;2;1;9;1364106558;0;0;0
95;BibtexSingleField;0;0;0;0;0;0;0;0;54;20;1;0;2;26;22;1;19;167;71;5.6;18;20.4;2;10;1.75;3;3;1.49;1.2;690;99;18;9;23;18.9;13;0;2;2;10;0.3;0;0;33;16;16;6;1463996975;0;0;0
96;BibtexString;0;1;0;2;2;0;0;3;60;13;1;0;1;19;12;25;13;179;64;10.9;22;34.1;2;7.5;2.53;5;5;2.02;1.47;691;93;23;11.5;39;29.5;9;19;7;7;90;3.2;0;0;38;11;11;28;1066336412;0;0;0
97;BibtexStringComparator;0;2;0;3;0;0;0;8;23;3;1;0;1;12;1;3;3;81;28;17.9;10;33.3;1;2;10.5;6;4;2.25;3.5;434;36;7;7;10;21.7;1;0;1;1;5;0.5;0;0;20;2;2;24;1364106558;0;0;0
98;BibtexTextPrefix;0;0;0;0;10;10;1;0;40;2;1;0;1;11;1;2;2;91;36;33.3;7;41.8;1;1;33;17;7;3.47;17;4;46;15;15;17;27;0;0;5;5;70;5.1;0;0;31;2;1;10;1364106558;0;0;0
99;BibtexWidth;0;0;0;0;25;16;1;6;79;5;1;0;3;17;6;2;3;265;164;16.5;14;22.3;1;3;18.67;26;8;3.34;14;5;192;47;47;28;12.7;1;0;5;5;85;1.5;0;0;152;3;3;12;1364106558;0;0;0
100;BrowseAction;0;0;0;0;0;0;0;0;42;8;2;0;3;18;22;6;6;95;47;6.4;21;18.9;1;8;2.5;3;4;1.28;1.29;141;63;13;13;1;1.6;5;0;3;2;10;0.5;1;0;20;6;8;28;1364106558;0;0;0
101;BuildInfo;0;1;0;2;0;0;0;0;21;7;1;0;1;18;13;6;6;74;34;5.9;18;21.6;1;7;2;3;4;1.35;1.43;646;43;4;4;1;2.3;3;0;2;2;15;1.2;0;0;13;3;2;21;1438215783;0;0;0
102;Cache;1;0;0;1;0;0;2;0;21;7;1;0;0;17;0;4;4;77;31;12.9;9;29.9;1;7;2.14;3;3;1.52;1.57;588;42;10;10;6;12.5;4;0;2;2;15;1.2;0;0;14;5;7;8;1468368000;0;0;0
103;CallBack;0;0;0;0;0;0;0;0;2;1;1;0;0;1;0;10;1;26;3;0;0;69.2;1;1;0;0;1;0.33;0;322;5;0;0;1;16.7;1;0;1;1;5;3.3;0;0;0;2;1;10;1364106558;0;0;0
104;CanonicalBibtexEntry;0;0;0;0;3;0;1;4;28;2;1;0;2;29;1;2;2;54;27;11.1;25;22.2;1;1;17;4;4;1.63;4;692;32;4;4;9;22;1;0;2;2;35;3.6;0;0;19;2;1;8;1448320961;0;0;0
105;CapitalizeFormatter;0;0;0;0;0;0;0;3;12;6;1;0;4;14;15;3;6;41;16;0;7;7.3;1;5;1.4;1;2;1.19;1;469;28;5;5;1;3.4;1;0;1;1;5;0.6;0;0;7;1;5;2;1459521143;0;0;0
106;CaseChangeMenu;0;0;0;0;0;0;0;0;6;2;7;0;4;18;1;1;1;42;17;5.9;12;38.1;1;1;7;2;3;1.12;2;190;20;2;2;1;4.8;2;0;2;2;245;40.8;0;0;9;2;1;26;1364106558;0;0;0
107;CaseKeeperList;0;0;0;0;1;0;1;0;26;3;1;0;0;7;1;1;1;1020;19;10.5;5;3.1;1;2;3.5;3;3;1.21;2;470;979;4;4;13;1.3;1;0;2;2;10;0;0;0;9;2;2;28;1352892397;0;0;0
108;Change;0;0;0;0;2;0;0;1;21;8;2;11;3;10;12;12;6;82;26;7.7;6;40.2;1;6;1.5;4;3;1.15;1.5;17;35;8;8;12;25.5;0;0;1;1;5;0.5;0;0;8;3;6;22;1364106558;4;0;4
109;ChangeCaseFunction;0;0;0;1;2;0;0;7;28;2;1;0;6;13;0;1;2;81;22;13.6;13;48.1;1;2;6.5;5;3;1.45;3;6;29;9;9;19;39.6;1;0;2;2;25;2.9;0;0;13;2;2;13;1364106558;0;0;0
110;ChangeDisplayDialog;0;0;0;0;0;0;1;0;41;7;6;0;8;64;11;1;3;161;90;2.2;81;14.3;1;1;58;0;3;1.4;0;18;118;12;12;5;4.1;0;0;3;3;265;7.5;0;0;68;0;3;32;1364106558;0;0;0
